DJIA	FTSE100	USDGBP	CAC40	EURUSD	Nikkei	YENUSD
14164.53	6615.4	2.0336	5861.93	0.7098	17159.9	116.99
14078.69	6633	2.0437	5838.49	0.706	17177.89	117.08
14015.12	6724.5	2.0385	5862.83	0.7023	17458.98	117.58
14093.08	6730.7	2.0347	5843.95	0.7057	17331.17	117.43
13984.8	6644.5	2.0422	5807.44	0.703	17358.15	117.46
13912.94	6614.3	2.0319	5774.36	0.7064	17137.92	116.57
13892.54	6677.7	2.0377	5818.8	0.7044	16955.31	116.68
13888.96	6609.4	2.0464	5767.24	0.7002	17106.09	115.67
13522.02	6527.9	2.0458	5740.48	0.7019	16814.37	114.94
13566.97	6459.3	2.0276	5661.27	0.7069	16438.47	114.06
13676.23	6514	2.0484	5705.05	0.702	16450.58	114.67
13675.25	6482	2.0468	5674.67	0.7029	16358.39	114.08
13671.92	6576.3	2.0497	5760.3	0.699	16284.17	114.25
13806.7	6661.3	2.0523	5794.87	0.695	16505.63	114.15
13870.26	6706	2.0609	5836.19	0.6942	16698.08	114.7
13792.47	6659	2.0671	5803.93	0.6933	16651.01	114.72
13930.01	6721.6	2.0774	5847.95	0.6911	16737.63	115.29
13567.87	6586.1	2.0817	5730.92	0.6927	16870.4	114.88
13595.1	6530.6	2.082	5720.42	0.6905	16517.48	114.76
13543.4	6461.4	2.0806	5684.62	0.6911	16268.92	114.5
13660.94	6474.9	2.0876	5709.42	0.6872	16249.63	114.31
13300.02	6385.1	2.104	5683.22	0.6818	16096.68	113.25
13266.29	6381.9	2.1081	5631.63	0.6808	15771.57	112.76
13042.74	6304.9	2.0948	5524.18	0.6813	15583.42	110.65
12987.55	6337.9	2.0592	5535.56	0.6879	15197.09	109.38
13307.09	6362.4	2.0724	5538.91	0.6848	15126.63	110.23
13231.01	6432.1	2.0654	5613.6	0.6806	15499.56	111.4
13110.05	6359.6	2.0453	5561.13	0.6837	15396.3	110.93
13176.79	6291.2	2.0457	5523.63	0.6834	15154.61	110.61
12958.44	6120.8	2.0519	5432.57	0.6824	15042.56	110.18
13010.14	6226.5	2.0646	5506.68	0.6765	15211.52	110.16
12799.04	6070.9	2.0551	5381.3	0.6745	14837.66	108.42
12743.44	6180.5	2.0678	5458.39	0.6739	15135.21	108.26
12958.44	6140.7	2.0698	5434.17	0.6729	15222.85	108.57
13289.45	6306.2	2.0712	5561.21	0.6776	15153.78	109.96
13311.73	6349.1	2.0625	5598.11	0.677	15513.74	109.67
13371.72	6432.5	2.0561	5670.57	0.6812	15680.67	110.88
13314.57	6386.6	2.0673	5629.46	0.6821	15628.97	110.47
13248.73	6315.2	2.0587	5547.21	0.6778	15480.19	109.62
13444.96	6493.8	2.0276	5659.07	0.6823	15608.88	110.93
13619.89	6485.6	2.0254	5673.76	0.6839	15874.08	111.36
13625.58	6554.9	2.0295	5718.75	0.6825	15956.37	111.67
13727.03	6565.4	2.0462	5750.92	0.6796	15924.39	111.71
13432.77	6536.9	2.039	5724.76	0.6806	16044.72	111.61
